Brand,Model_Type,Model_Name,Number_Of_Seats,Trunk_Volume,Wheel_Base,Empty_Weight,Tank,Urban_Consumption,Mixed_Consumption,Extra_Urban_Consumption,CO2,Number_Cylinders,Valves_Per_Cylinder,Displacement,Din_Power,Engine_Torque,Fiscal_Power,Engine_Position,Power_Supply,Max_Speed,Supercharging_Type,Acceleration,Transmission,Box,Number_Speeds,Distribution,Bodywork,Front_Tire_Width,Rear_Tire_Width,Front_Tire_HL_Ratio,Rear_Tire_HL_Ratio,Front_Suspension,Rear_Suspension,Front_Rims_Diameter,Rear_Rims_Diameter,Maintenance_Interval,Month_Guarantee,Manufacturer_Country,Start_Marketing,End_Marketing,Vehicle_Image,Length,Width,Height,Website_URL,Year
PEUGEOT,2008,(2) 1.2 PURETECH 110 S&S ALLURE,5,410 L (Max 1400 L volume),2.54 m,1090 kg,50 l,5.3 l / 100 km ,4.4 l / 100 km ,3.9 l / 100 km ,103 g / km ,3 ,4,1199 cc,110 hp with a speed of 5,205 nm at the 1750 rpm diet,5 cv ,no data,Direct & multipoint petrol injection ,191 km/h ,Turbo ,9.9 sec ,before ,Mesnie ,5 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,Strength leg ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,01/30/17 ,01/05/17 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.2+puretech+110+s%5Es+allure-2016.html,2016
PEUGEOT,108,1.0 VTI 72 ACTIVE 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,93 g / km ,3 ,4,998 cc,72 hp with a diet of 6000 rpm,93 nm at the speed of 4400 rpm,4 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,65 ,65 ,leg of force ,twisting axle ,14 inches ,14 inches ,12 months ,24 months ,France ,04/04/19 ,04/28/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+active+5p-2019.html,2019
PEUGEOT,1007,1.4 SPORTY 2-TRONIC,4,178 L (Max 1048 L volume),2.32 m,1145 kg,40 l,8.1 l / 100 km ,6.3 l / 100 km ,5.3 l / 100 km ,147 g / km ,4 ,2,1360 cc,73 hp with a speed of 5400 rpm,118 nm at the diet of 3300 rpm,5 cv ,before ,no data,165 km/h ,no data,16.6 sec ,before,automatic,5 ,simple camshaft in mind ,minospace ,195 mm ,195 mm ,50 ,50 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,09/25/04 ,18/12/06 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,92 m","1,62 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.4+sporty+2_tronic-2006.html,2006
RENAULT,ALASKAN,DOUBLE CABINE 2.3 DCI 190 ZEN BVA,5,no data,3.15 m,2011 kg,73 l,8.7 l / l / 100 km ,6.9 l / 100 km ,5.9 l / 100 km ,183 g / km ,4 ,4 ,2298 cc ,190 hp at 3750 rpm,450 Nm at the 1500 rpm diet,8 cv,no data,Diesel Common Ramp,180 km/h,Turbo,no data,4 wheels Motrics ,automatic ,7 ,no data,Pick-up ,255 mm ,255 mm ,60 ,60 ,Superimposed arm ,multi-bras ,18 inches,18 inches,24 months,24 months,France ,05/09/17,04/06/19,https://images.caradisiac.com/logos-ref/modele/modele--renault-alaskan/S7-modele--renault-alaskan.jpg,"5,40 m","1,85 m","1,81 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-alaskan-double+cabine+2.3+dci+190+zen+bva-2019.html,2019
PEUGEOT,108,1.0 VTI 72 S&S 3CV TOP! STYLE 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,85 g / km ,3 ,4,998 cc,72 hp with a diet of 6000 rpm,93 nm at the speed of 4400 rpm,3 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,01/01/20 ,02/02/20 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+s%5Es+3cv+top!+style+5p-2020.html,2020
PEUGEOT,2008,II 1.2 PURETECH 130 S&S ACTIVE EAT8,5,no data,2.61 m,1205 kg,44 l,5.1 l / l / l / l / 100 km ,4.3 l / 100 km ,3.9 l / 100 km ,109 g / km ,3 ,4 ,1199 cc ,130 hp at the 5500 rpm diet ,230 Nm at the 1750 rpm diet ,6 cv ,no data,Direct & multipoint petrol injection,198 km/h,Turbo,9.1 sec,Before ,automatic ,8 ,no data,Crossover ,215 mm ,215 mm ,65 ,65 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,03/02/20 ,01/03/20 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.2+puretech+130+s%5Es+active+eat8-2019.html,2019
RENAULT,CAPTUR,II 1.6 E-TECH HYBRIDE 145 ZEN 21,5,305 L (volume max 440 l),2.64 m,1461 kg,48 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,148 nm ,5 cv ,no data,Direct Essence Injection,170 km/h,no data,no data,before,automatic,6 ,no data,SUV VP ,215 mm,215 mm,60,60 ,force ,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,01/09/21 ,03/18/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.6+e_tech+hybride+145+zen+21-2021.html,2021
PEUGEOT,206,CC 1.6 16S,4,175 L (Max 410 L volume),2.44 m,1140 kg,47 l,9.5 l / 100 km ,6.9 l / 100 km ,5.7 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp at the 5750 rpm regime ,147 Nm with a regime of 4000 rpm ,7 cv ,before ,no data,193 km/h ,no data,11.2 sec ,Before ,Made Coinique ,5 ,Variable valve setting ,Cabriolet ,185 mm,185 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,12 months ,no data,01/01/01 ,04/04/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-cc/S7-modele--peugeot-206-cc.jpg,"3,84 m","1,67 m","1,37 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-cc+1.6+16s-2005.html,2005
PEUGEOT,206,(2) 1.6 16S NAVTECH 3P,5,245 l (maximum volume 1130 l),2.44 m,1040 kg,50 l,8.7 l / 100 km ,6.8 l / 100 km ,5.7 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp with a speed of 5800 rpm ,147 nm at the regime of 4000 rpm ,7 cv ,before ,no data,196 km/h ,no data,10.6 sec ,Before ,Made Coinique ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,01/04/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+navtech+3p-2005.html,2005
RENAULT,FLUENCE,1.5 DCI 110 FAP BUSINESS ECO2,5,530 L,2.70 m,1285 kg,60 L,5.6 L / L / L / L / L / L / L / L / L / L / L / 100 km ,4.6 l / 100 km ,4 l / 100 km ,120 g / km ,4 ,2 ,1461 cc ,110 hp at the speed of 4000 rpm ,240 Nm with a diet of 1750 rpm ,6 cv ,no data,Injection,185 km/h,Turbocharger,11 sec,before,Made Coatique,6 ,no data,sedan/tricorps ,205 mm ,205 mm ,65 ,65 ,no data,no data,15 inches ,15 inches ,24 months ,24 months ,no data,04/04/12 ,07/01/13 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-fluence/S7-modele--renault-fluence.jpg,"4,62 m","2,04 m","1,48 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-fluence-1.5+dci+110+fap+business+eco2-2011.html,2011
RENAULT,CLIO,IV ESTATE 1.2 16V 75 LIFE E6,5,443 L (Max 1380 L volume),2.59 m,1066 kg,45 l,7.2 l / 100 km ,5.6 l / 100 km ,4.7 l / 100 km ,127 g / km ,4 ,4,1149 cc,75 hp with a speed of 5,107 nm with a speed of 4250 rpm,4 cv ,no data,Multipoint ,167 km/h ,no data,14.5 sec ,before,Made Coinique,5 ,no data,Break ,185 mm ,185 mm ,65 ,65 ,no data,no data,15 inches,15 inches,24 months,24 months,no data,04/ 01/16 ,05/04/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+1.2+16v+75+life+e6-2016.html,2016
RENAULT,CAPTUR,II 1.3 TCE 130 FAP INTENS,5,422 L (volume max 1275 l),2.64 m,1340 kg,48 l,7.4 l / 100 km ,5.6 l / 100 km ,5.2 l / 100 km ,no data,4 ,4 ,1333 cc ,130 hp at the 5000 rpm diet ,240 Nm at 1600 rpm regime ,7 cv ,no data,Direct petrol injection ,195 km/h ,Turbo ,10.6 sec ,before ,mèsique ,6 ,no data,SUV VP ,215 mm,215 mm,55,55 ,force ,twisting axle,18 inches ,18 inches ,24 months ,24 months ,France ,05/10/20 ,04/01/21 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.3+tce+130+fap+intens-2021.html,2021
RENAULT,CLIO,IV (2) 1.5 DCI 90 ENERGY INITIALE PARIS EDC,5,300 L (Max 1146 L volume),2.59 m,1205 kg,45 l,3.9 l / 100 km ,3.5 l / 100 km ,3.3 l / 100 km ,92 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,176 km/h ,Turbo ,12.9 sec ,before ,automatic ,6 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,06/03/18 ,05/07/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+1.5+dci+90+energy+initiale+paris+edc-2016.html,2016
PEUGEOT,206,SW 1.1 X LINE,5,313 L (maximum volume 1136 l),2.44 m,990 kg,50 l,8.7 l / 100 km ,6.5 l / 100 km ,5.2 l / 100 km ,no data,4 ,2 ,1124 cc ,60 hp with a speed of 5,94 nm with a diet of 2700 rpm ,5 cv ,before ,no data,161 km/h ,no data,17.8 sec ,Before ,Made Coinique ,no data,Simple Cams In mind ,Break ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches ,14 inches ,no data,24 months ,no data,06/06/02 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-sw/S7-modele--peugeot-206-sw.jpg,"4,03 m","1,65 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-sw+1.1+x+line-2004.html,2004
RENAULT,CLIO,IV (2) 1.2 TCE 120 ENERGY EDITION ONE EDC,5,300 L (Max 1146 L volume),2.59 m,1090 kg,45 l,6.8 l / 100 km ,5.4 l / 100 km ,4.5 l / 100 km ,120 g / km ,4 ,4,1197 cc,120 hp with a speed of 5,205 nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,199 km/h ,Turbo ,9.2 sec ,before ,automatic ,6 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,02/05/17 ,05/09/17 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+1.2+tce+120+energy+edition+one+edc-2017.html,2017
RENAULT,CLIO,V 1.6 E-TECH 140 5CV RS LINE,5,301 L (MAX 979 L volume),2.58 m,no data,39 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,140 hp ,144 Nm at the 3200 rpm regime ,5 cv ,no data,Multipoint ,186 km/h ,no data,no data,before ,automatic ,6 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,01/09/20 ,04/10/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.6+e_tech+140+5cv+rs+line-2020.html,2020
PEUGEOT,206,(2) 1.4 16S 90 TRENDY 3P,5,245 L (Max 1130 L volume),2.45 m,1038 kg,50 l,8.5 l / 100 km ,6.5 l / 100 km ,5.3 l / 100 km ,145 g / km ,4 ,4,1360 cc,88 hp at the speed of 5,133 nm with a diet of 3250 rpm,6 cv ,before ,no data,178 km/h ,no data,10.9 sec ,before,Made Coinique,5 ,variable valve setting ,tailgate vehicle ,195 mm ,195 mm ,55 ,55 ,no data,no data,15 inches ,15 inches ,24 months ,24 months ,no data,03/10/05 ,02/05/06 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+16s+90+trendy+3p-2005.html,2005
RENAULT,CLIO,IV 1.5 DCI 90 INTENS ECO2 95G,5,300 L (Max 1146 L volume),2.59 m,1071 kg,45 l,4.3 l / 100 km ,3.6 l / 100 km ,3.2 l / 100 km ,95 g / km ,4 ,2,1461 cc,90 hp with a diet of 3750 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,181 km/h ,Turbo ,12 sec ,before ,mèsique ,5 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,01/01/14 ,07/09/15 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+90+intens+eco2+95g-2015.html,2015
RENAULT,CLIO,IV 1.5 DCI 75 ENERGY INTENS,5,300 L (Max 1146 L volume),2.59 m,1087 kg,45 l,3.5 l / 100 km ,3.3 l / 100 km ,3.1 l / 100 km ,85 g / km ,4 ,2,1461 cc,75 hp with a diet of 4000 rpm,200 Nm on the diet of 1750 rpm,4 cv ,no data,Diesel common ramp ,168 km/h ,Turbo ,14.3 sec ,before ,mèsique ,5 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,04/05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+75+energy+intens-2016.html,2016
RENAULT,CLIO,IV ESTATE 1.2 TCE 120 INTENS EDC ECO2,5,443 l (volume max 1380 l),2.59 m,1124 kg,45 l,6.6 l / 100 km ,5.2 l / 100 km ,4.4 l / 100 km ,120 g / km ,4 ,4,1197 cc,120 hp at the speed of 4900 rpm,190 Nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,199 km/h ,Turbo ,9.4 sec ,before ,automatic ,6 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,04/ 09/13 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+1.2+tce+120+intens+edc+eco2-2016.html,2016
PEUGEOT,2008,1.6 E-HDI 92 CROSSWAY,5,350 l (maximum volume 1194 l),2.54 m,1160 kg,50 l,4.7 l / 100 km ,4 l / 100 km ,3.6 l / 100 km ,103 g / km ,4 ,2,1560 cc,92 hp at the speed of 4000 rpm,230 nm on the diet of 1750 rpm,5 cv ,no data,Diesel Common Ramp ,181 km/h ,Turbo ,11.5 sec ,before ,mèsique ,5 ,no data,Crossover ,205 mm ,205 mm ,50 ,50 ,no data,no data,17 inches,17 inches,12 months,24 months,no data,04/ 05/15 ,05/05/15 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.6+e_hdi+92+crossway-2015.html,2015
PEUGEOT,2008,1.2 PURETECH 130 S&S FELINE TITANE,5,350 l (maximum volume 1194 l),2.54 m,1160 kg,50 l,6 l / 100 km ,4.8 l / 100 km ,4.1 l / 100 km ,110 g / km ,3 ,4,1199 cc,130 hp with a speed of 5,230 nm at the 1750 rpm diet,7 cv ,no data,Direct and multipoint petrol injection ,200 km/h ,Turbo ,9.3 sec ,before ,Mesnie ,6 ,no data,Crossover ,205 mm ,205 mm ,50 ,50 ,no data,no data,17 inches,17 inches,12 months,24 months,no data,01/ 02/16 ,05/05/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.2+puretech+130+s%5Es+feline+titane-2016.html,2016
RENAULT,CLIO,IV 0.9 TCE 95 ENERGY INITIALE PARIS E6,5,300 L (Max 1146 L volume),2.59 m,1017 kg,45 l,5.7 l / 100 km ,4.7 l / 100 km ,4.1 l / 100 km ,105 g / km ,3 ,4,898 cc,95 hp at the speed of 5,150 Nm with a diet of 2500 rpm,5 cv ,no data,Multipoint ,182 km/h ,Turbo ,12.2 sec ,before,Made Coinique,5 ,no data,hayon sedan ,205 mm ,205 mm ,45 ,45 ,no data,no data,17 inches ,17 inches ,24 months ,24 months ,no data,19/10/15 ,05/04/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+0.9+tce+95+energy+initiale+paris+e6-2015.html,2015
PEUGEOT,2008,1.2 E-VTI 82 BLUE LION ACTIVE ETG5,5,350 l (maximum volume 1194 l),2.54 m,1055 kg,50 l,5.6 l / 100 km ,4.8 l / 100 km ,4.3 l / 100 km ,99 g / km ,3 ,4,1199 cc,82 hp at the speed of 5750 rpm,118 nm with a diet of 2750 rpm,4 cv ,no data,Multipoint ,171 km/h ,no data,15.9 sec ,before,automatic,5 ,no data,SUV VP ,205 mm ,205 mm ,55 ,55 ,no data,no data,16 inches,16 inches,12 months,24 months,no data,30 /06/14 ,07/24/14 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.2+e_vti+82+blue+lion+active+etg5-2014.html,2014
PEUGEOT,107,1.4 HDI TRENDY 3P,4,130 L (Max 712 L volume),2.34 m,880 kg,35 l,5.3 l / 100 km ,4.1 l / 100 km ,3.4 l / 100 km ,109 g / km ,4 ,2,1398 cc,54 hp with a speed of 4000 rpm,130 Nm at the 1750 rpm diet,3 cv ,before ,injection ,154 km/h ,turbo ,15.6 sec ,before,Made Coinique,5 ,simple camshaft in mind ,tailgate vehicle ,155 mm ,155 mm ,65 ,65 ,no data,no data,14 inches,14 inches,24 months,24 months,no data,02/19/05,20/09/10,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-107/S7-modele--peugeot-107.jpg,"3,43 m","1,86 m","1,47 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-107-1.4+hdi+trendy+3p-2005.html,2005
PEUGEOT,206,(2) 1.6 HDI 110 FAP QUIKSILVER,5,245 l (Max 1130 L volume),2.45 m,1130 kg,50 l,6 l / 100 km ,4.8 l / 100 km ,4.1 l / 100 km ,126 g / km ,4 ,4,1560 cc,109 hp at 4000 rpm diet,240 Nm on a diet of 1750 rpm,6 cv ,before ,injection ,186 km/h ,turbo with intercooler ,9.9 sec ,before ,mèsique ,5 ,Double camshaft in mind ,Heep -up vehicle ,205 mm ,205 mm ,45 ,45 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,03/10/05,09/28/06,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+hdi+110+fap+quiksilver-2006.html,2006
PEUGEOT,108,1.0 VTI 72 S&S STYLE TOP!,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,no data,no data,no data,no data,3 ,4 ,998 cc ,72 hp ,93 Nm at the speed of 4400 rpm ,4 cv ,no data,no data,160 km/h ,no data,12.6 sec ,before ,mèsique ,5 ,no data,sedan ,165 mm ,165 mm ,60 ,60 ,no data,no data,15 inches,15 inches,no data,24 months,no data,07/04 /22 ,08/18/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+s%5Es+style+top!-2020.html,2020
PEUGEOT,2008,II ELECTRIQUE ACTIVE,5,405 L (Max 1467 L volume),2.61 m,no data,no data,no data,no data,no data,no data,no data,no data,no data,136 hp,260 Nm at 300 rpm regime,4 cv,no data,no data,150 km/h ,no data,9.9 sec ,before ,automatic ,1 ,no data,All-terrain ,215 mm ,215 mm ,65 ,65 ,no data,no data,16 inches ,16 inches ,no data,24 months ,no data,13 /10/22 ,12/29/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-e-2008-2e-generation/S7-modele--peugeot-e-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+electrique+active-2022.html,2022
PEUGEOT,2008,II ELECTRIQUE GT 136,5,405 L (Max 1467 L volume),2.61 m,no data,no data,no data,no data,no data,no data,no data,no data,no data,136 hp,260 Nm at 300 rpm regime,4 cv,no data,no data,150 km/h ,no data,9.9 sec ,before ,automatic ,1 ,no data,All-terrain ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches ,17 inches ,no data,24 months ,no data,13 /10/22 ,12/29/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-e-2008-2e-generation/S7-modele--peugeot-e-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+electrique+gt+136-2021.html,2021
PEUGEOT,1007,1.4 HDI 70 SPORTY,4,205 l (Max 977 L volume),2.32 m,1243 kg,40 l,5.6 l / 100 km ,4.5 l / 100 km ,3.9 l / 100 km ,120 g / km ,4 ,2,1398 cc,68 hp at the speed of 4000 rpm,160 Nm at the 2000 rpm diet,4 cv ,before ,injection ,160 km/h ,turbo ,15.4 sec ,before,Made Coinique,5 ,simple camshaft in mind ,minospace ,195 mm ,195 mm ,50 ,50 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,09/25/04 ,06/13/11 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,92 m","1,62 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.4+hdi+70+sporty-2006.html,2006
RENAULT,CLIO,IV (2) ESTATE 1.5 DCI 90 LIMITED EDC,5,445 l (maximum volume 1380 l),2.59 m,1205 kg,45 l,4.1 l / 100 km ,3.9 l / 100 km ,3.8 l / 100 km ,105 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,5 cv ,no data,Diesel Common Ramp ,176 km/h ,Turbo ,13.1 sec ,before ,automatic ,6 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,force leg ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,08/01/19 ,03/04/19 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+estate+1.5+dci+90+limited+edc-2018.html,2018
RENAULT,CLIO,IV (2) ESTATE 0.9 TCE 90 ENERGY INTENS,5,445 L (volume max 1380 l),2.59 m,no data,45 l,4.2 l / 100 km ,5 l / 100 km ,4.2 l / 100 km ,113 g / km ,3 ,4,898 cc,90 hp at 5000 rpm diet,140 Nm with a diet of 2500 rpm,5 cv ,no data,Multipoint ,180 km/h ,Turbo ,12.2 sec ,before ,mèsique ,5 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,Strength leg ,twisting axle ,16 inches ,16 inches ,24 months ,24 months ,France ,02/05/18 ,04/06/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+estate+0.9+tce+90+energy+intens-2016.html,2016
RENAULT,CAPTUR,II 1.0 TCE 100 ZEN,5,422 L (volume max 1275 l),2.64 m,1316 kg,48 l,6.1 l / 100 km ,5.2 l / 100 km ,4.6 l / 100 km ,no data,3 ,4 ,999 cc ,100 hp with a regime of 5000 rpm ,160 Nm with a diet of 2750 rpm ,5 cv ,no data,Direct petrol injection ,173 km/h ,Turbo ,13.3 sec ,before ,mèsique ,5 ,no data,SUV VP ,215 mm,215 mm,60,60 ,force ,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,05/10/20 ,04/11/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.0+tce+100+zen-2020.html,2020
